Cell	Condition1	Condition2	Protein	logFC	logCPM	PValue
E	CTRL	GEF	ALBU_HUMAN	1.52215998212422	8.45434385461689	2.03191910145819e-08
E	CTRL	GEF	AMRP_HUMAN	0.721936663152163	8.46938246359085	0.00750193806981412
E	CTRL	GEF	ANAG_HUMAN	-0.623826059800836	9.64126693152246	0.00379972496385624
E	CTRL	GEF	AP1B1_HUMAN	-1.10816822089833	8.80394340113218	0.000158385754780248
E	CTRL	GEF	AP1G1_HUMAN	-4.47368942899791	7.37567355407277	4.62309729929641e-05
E	CTRL	GEF	AP2A1_HUMAN	-1.48538399521741	9.12138820506592	2.32751550688245e-08
E	CTRL	GEF	AP2A2_HUMAN	-2.5428814917694	8.49370078345961	2.88998562824137e-10
E	CTRL	GEF	AP2B1_HUMAN	-0.795012266921318	9.73924604054835	0.000223322764386456
E	CTRL	GEF	AT1A1_HUMAN	-3.96688540740444	7.79645250096152	4.57881465788934e-08
E	CTRL	GEF	AT2A2_HUMAN	-2.20458162983268	8.12558760072303	3.83400863913643e-06
E	CTRL	GEF	AT2B1_HUMAN	-1.54854571003872	8.52011310132084	1.2713431057665e-05
E	CTRL	GEF	AT2B4_HUMAN	-5.77298589638761	8.1633168194534	4.78698739005556e-12
E	CTRL	GEF	BAG2_HUMAN	1.28022852970252	7.61440154442675	0.00649367801376554
E	CTRL	GEF	BAG3_HUMAN	1.13895554116731	7.78314103229273	0.00536341233311445
E	CTRL	GEF	CADH2_HUMAN	1.28450451905225	8.09918710190774	0.000109024279815449
E	CTRL	GEF	CALD1_HUMAN	0.927622568603163	12.2230901797801	1.67936338297206e-07
E	CTRL	GEF	CALR_HUMAN	0.598125316277264	10.9682534338048	0.0010958746234203
E	CTRL	GEF	CALU_HUMAN	0.801354580550333	9.66913149350755	4.02399637754341e-05
E	CTRL	GEF	CAN1_HUMAN	-1.27069230561582	9.12703938588567	5.75895398897364e-07
E	CTRL	GEF	CAN2_HUMAN	-0.692465151825694	10.4279410995566	0.000801589909082088
E	CTRL	GEF	CAND1_HUMAN	-0.804373790571836	9.80043755066039	0.000241218239133091
E	CTRL	GEF	CBX1_HUMAN	1.82337230317227	7.57549429667503	5.81938816484185e-05
E	CTRL	GEF	CCD47_HUMAN	1.16535443482251	7.57602100325018	0.00807595141450867
E	CTRL	GEF	CD97_HUMAN	1.34995462395008	7.88423692146478	0.000439217506636068
E	CTRL	GEF	CE170_HUMAN	1.39721680952642	7.76396802374066	0.000594586307932841
E	CTRL	GEF	CHMP5_HUMAN	1.93266342959232	7.27346443724249	0.000294230076463884
E	CTRL	GEF	CLH1_HUMAN	-2.5977696994368	9.97156443382636	7.7314541787931e-22
E	CTRL	GEF	CLIC2_HUMAN	1.64197631391517	7.35486187058267	0.00100334725631984
E	CTRL	GEF	CMC1_HUMAN	-1.36443598498937	8.64673574511229	1.92294616196725e-05
E	CTRL	GEF	CNN1_HUMAN	0.956011501466675	9.77796676310703	5.56129781093098e-07
E	CTRL	GEF	CNN2_HUMAN	0.540853109544808	9.4589636434448	0.00707647801242396
E	CTRL	GEF	CNN3_HUMAN	0.66909966713899	9.93103194351996	0.000403312300358222
E	CTRL	GEF	CO1A1_HUMAN	0.578217450813815	11.1158520644254	0.00163843463570051
E	CTRL	GEF	CO1A2_HUMAN	0.615688593465946	10.6759665062972	0.000877055883358768
E	CTRL	GEF	CO4A2_HUMAN	1.65663490147145	8.03569501854489	1.78373486794647e-06
E	CTRL	GEF	CO5A1_HUMAN	0.991919264390642	8.90924256487358	1.72217780559355e-05
E	CTRL	GEF	CO5A2_HUMAN	2.73246635956518	7.70494528399877	9.42453496037038e-11
E	CTRL	GEF	CO6A1_HUMAN	-0.518897207282686	11.684449913559	0.00840043913496331
E	CTRL	GEF	CO6A2_HUMAN	-0.66787412517569	10.9572575477113	0.000946531053157598
E	CTRL	GEF	CO6A3_HUMAN	-0.792397771767795	13.4132878232472	5.09575115253679e-05
E	CTRL	GEF	COCA1_HUMAN	-0.613706267316637	9.91110178667745	0.00558365366572753
E	CTRL	GEF	COMT_HUMAN	-0.70054031264625	9.27138666364461	0.00244155172776578
E	CTRL	GEF	COPA_HUMAN	-1.4523667753141	9.21539072631569	1.38264560677342e-08
E	CTRL	GEF	COPB_HUMAN	-1.35094946759634	9.13692274423729	1.38583301461326e-07
E	CTRL	GEF	COPB2_HUMAN	-1.17496169448341	8.71602589608997	0.000200058508474823
E	CTRL	GEF	COPG1_HUMAN	-1.17435623523064	9.19261424740939	3.98310898005732e-06
E	CTRL	GEF	COPG2_HUMAN	-3.90077042965626	7.12257692663945	0.0016269103898527
E	CTRL	GEF	CPT1A_HUMAN	-1.7691602795051	8.08347194955859	5.27188510885723e-05
E	CTRL	GEF	CREG1_HUMAN	1.10884018489982	8.03873721818606	0.00153667442554362
E	CTRL	GEF	CRIM1_HUMAN	2.07164106127381	7.3165438190752	0.000124580802812362
E	CTRL	GEF	CRKL_HUMAN	1.15675482463691	8.2384380874903	0.000190763248901653
