Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	VAN.30.7.5	VAN.42.10.5	VAN.42.11.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	VAN.30.7.5.Norm	VAN.42.10.5.Norm	VAN.42.11.5.Norm
SKP1_HUMAN	3	2	3	4	9	4	4	4	2	4	2	4	91.5444639778427	71.6099192361683	119.581275118026	162.890514432149	182.47228559691	121.547660748669	166.402938036639	171.161536740618	84.2525688190082	165.869222142398	91.6347987785089	145.397335488341
SLAI2_HUMAN	1	3	0	2	2	0	0	0	1	2	0	0	30.5148213259476	107.414878854252	0	81.4452572160745	40.5493967993132	0	0	0	42.1262844095041	82.934611071199	0	0
SLFN5_HUMAN	0	2	2	2	0	1	0	3	0	2	0	1	0	71.6099192361683	79.7208500786843	81.4452572160745	0	30.3869151871674	0	128.371152555464	0	82.934611071199	0	36.3493338720851
SLIRP_HUMAN	4	2	1	1	6	3	0	2	1	1	1	6	122.05928530379	71.6099192361683	39.8604250393421	40.7226286080373	121.64819039794	91.1607455615021	0	85.5807683703091	42.1262844095041	41.4673055355995	45.8173993892544	218.096003232511
SLIT2_HUMAN	1	1	0	0	0	1	0	0	0	0	0	1	30.5148213259476	35.8049596180841	0	0	0	30.3869151871674	0	0	0	0	0	36.3493338720851
SLIT3_HUMAN	10	6	7	8	5	9	4	1	3	1	2	4	305.148213259476	214.829757708505	279.022975275395	325.781028864298	101.373491998283	273.482236684506	166.402938036639	42.7903841851546	126.378853228512	41.4673055355995	91.6347987785089	145.397335488341
SLK_HUMAN	4	0	2	1	6	4	2	0	1	0	0	2	122.05928530379	0	79.7208500786843	40.7226286080373	121.64819039794	121.547660748669	83.2014690183197	0	42.1262844095041	0	0	72.6986677441703
SLMAP_HUMAN	1	0	0	0	3	2	2	1	1	0	0	0	30.5148213259476	0	0	0	60.8240951989698	60.7738303743347	83.2014690183197	42.7903841851546	42.1262844095041	0	0	0
SLTM_HUMAN	1	1	1	1	2	1	1	2	1	2	3	4	30.5148213259476	35.8049596180841	39.8604250393421	40.7226286080373	40.5493967993132	30.3869151871674	41.6007345091598	85.5807683703091	42.1262844095041	82.934611071199	137.452198167763	145.397335488341
SLX4_HUMAN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41.6007345091598	0	0	0	0	0
SMAD2_HUMAN	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	81.4452572160745	0	0	0	0	0	82.934611071199	0	0
SMAD3_HUMAN	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	20.2746983996566	0	0	0	84.2525688190082	0	0	0
SMAD4_HUMAN	3	3	0	0	1	4	1	0	1	2	0	0	91.5444639778427	107.414878854252	0	0	20.2746983996566	121.547660748669	41.6007345091598	0	42.1262844095041	82.934611071199	0	0
SMAD5_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39.8604250393421	0	0	0	0	0	0	0	0	0
SMAD9_HUMAN	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	30.3869151871674	0	42.7903841851546	0	0	0	0
SMAG1_HUMAN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40.7226286080373	0	0	0	0	0	0	0	0
SMAP_HUMAN	2	1	1	1	1	0	0	0	0	0	0	0	61.0296426518951	35.8049596180841	39.8604250393421	40.7226286080373	20.2746983996566	0	0	0	0	0	0	0
SMAP1_HUMAN	0	1	1	1	3	1	0	0	0	1	0	1	0	35.8049596180841	39.8604250393421	40.7226286080373	60.8240951989698	30.3869151871674	0	0	0	41.4673055355995	0	36.3493338720851
SMAP2_HUMAN	0	0	1	0	0	0	1	0	0	0	0	0	0	0	39.8604250393421	0	0	0	41.6007345091598	0	0	0	0	0
SMC1A_HUMAN	1	2	1	0	2	1	2	1	0	0	1	1	30.5148213259476	71.6099192361683	39.8604250393421	0	40.5493967993132	30.3869151871674	83.2014690183197	42.7903841851546	0	0	45.8173993892544	36.3493338720851
SMC3_HUMAN	2	1	1	1	2	1	2	0	0	1	0	0	61.0296426518951	35.8049596180841	39.8604250393421	40.7226286080373	40.5493967993132	30.3869151871674	83.2014690183197	0	0	41.4673055355995	0	0
SMCA1_HUMAN	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	40.7226286080373	0	91.1607455615021	41.6007345091598	0	0	0	0	0
SMCA5_HUMAN	1	1	0	0	0	0	0	0	0	0	0	0	30.5148213259476	35.8049596180841	0	0	0	0	0	0	0	0	0	0
SMCE1_HUMAN	2	0	0	0	2	0	0	0	1	0	0	0	61.0296426518951	0	0	0	40.5493967993132	0	0	0	42.1262844095041	0	0	0
SMD1_HUMAN	7	2	2	2	7	6	2	2	4	3	4	3	213.603749281633	71.6099192361683	79.7208500786843	81.4452572160745	141.922888797596	182.321491123004	83.2014690183197	85.5807683703091	168.505137638016	124.401916606799	183.269597557018	109.048001616255
SMD2_HUMAN	2	1	2	2	6	4	1	1	2	2	2	3	61.0296426518951	35.8049596180841	79.7208500786843	81.4452572160745	121.64819039794	121.547660748669	41.6007345091598	42.7903841851546	84.2525688190082	82.934611071199	91.6347987785089	109.048001616255
SMD3_HUMAN	4	4	3	4	7	5	2	3	1	3	4	6	122.05928530379	143.219838472337	119.581275118026	162.890514432149	141.922888797596	151.934575935837	83.2014690183197	128.371152555464	42.1262844095041	124.401916606799	183.269597557018	218.096003232511
SMG8_HUMAN	1	1	0	1	0	0	0	0	0	0	0	0	30.5148213259476	35.8049596180841	0	40.7226286080373	0	0	0	0	0	0	0	0
SMG9_HUMAN	0	1	0	1	1	0	0	0	0	2	0	0	0	35.8049596180841	0	40.7226286080373	20.2746983996566	0	0	0	0	82.934611071199	0	0
SMN_HUMAN	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	30.3869151871674	0	0	42.1262844095041	0	0	0
SMRC1_HUMAN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42.7903841851546	0	0	0	0
SMRC2_HUMAN	3	0	1	2	5	1	1	0	2	1	0	1	91.5444639778427	0	39.8604250393421	81.4452572160745	101.373491998283	30.3869151871674	41.6007345091598	0	84.2525688190082	41.4673055355995	0	36.3493338720851
SMRD3_HUMAN	1	0	0	0	0	0	0	0	1	0	0	0	30.5148213259476	0	0	0	0	0	0	0	42.1262844095041	0	0	0
SMTN_HUMAN	7	3	4	5	10	8	4	5	6	6	4	7	213.603749281633	107.414878854252	159.441700157369	203.613143040186	202.746983996566	243.095321497339	166.402938036639	213.951920925773	252.757706457025	248.803833213597	183.269597557018	254.445337104596
SMU1_HUMAN	1	1	1	1	2	1	1	1	0	1	0	1	30.5148213259476	35.8049596180841	39.8604250393421	40.7226286080373	40.5493967993132	30.3869151871674	41.6007345091598	42.7903841851546	0	41.4673055355995	0	36.3493338720851
